store,title,shortTitle,code,short_desc,description,expiry_date
MakeMyTrip,Get Upto Rs 2500 OFF on Domestic Flights,Rs.2500 OFF,BESTBUY,[],['Make My Trip offers up to Rs 2500 discount on Domestic Flights'],"Valid till 30th Apr, 21"
MakeMyTrip,Domestic Flights - Grab ₹1000 OFF + Extra ₹800 SuperCash,Rs.1000 OFF,MMTFLIGHT,"[None, 'Promo Code Valid For\tDomestic Flights', 'Mobikwik Wallet\tUp to Rs 800 SuperCash', 'Applicable For\tBoth New & Existing Users']","['Grab Up to 6% OFF on flights.', 'Get 10% SuperCash, Maximum SuperCash that can be availed is Rs 800']","Valid till 30th Apr, 21"
MakeMyTrip,New User Offer - Upto Rs 1500 OFF On First Flight Booking,Rs.1500 OFF,FIRSTFLIGHT,[],['Get up to Rs 1500 off on first time flight booking.'],
MakeMyTrip,Domestic Flights - Rs 800 OFF,Rs.800 OFF,FLTGB,[],"['Up to Rs 800 OFF on domestic flight tickets.', 'This mmt coupon code is Verified on 18 Apr 2021.']","Valid till 30th Apr, 21"
MakeMyTrip,Flat 10% OFF on Domestic Flights (Expiring Soon),10% OFF,BOOKTODAY,[],[],
MakeMyTrip,Get Up To Rs 1200 OFF On First Flight Booking,Rs.1200 OFF,NEWUSERSPECIAL,[],[],
MakeMyTrip,Flight Ticket Offer - Up To Rs 1000 OFF On Domestic Routes,Rs.1000 OFF,MMTSPECIAL,[],[],
MakeMyTrip,Domestic Flight Tickets - Get Up To Rs 1000 OFF,Rs.1000 OFF,FLYSALE,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,Flight Tickets - Get Up To Rs 1250 OFF,Rs.1250 OFF,FLYMMT,[],[],
MakeMyTrip,Long Weekend Special: Grab Rs 1200 OFF,Rs.1200 OFF,LONGWEEKEND,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,Up To Rs 1000 OFF On Domestic Flights,Rs.1000 OFF,FLIGHTSALE,[],['Get up to Rs 1000 off on domestic flight tickets.'],
MakeMyTrip,Domestic Flight Tickets - Get Flat Rs 300 OFF,Rs.300 OFF,FLYMMT300,[],['Get flat Rs 300 instant off on domestic flight tickets.'],
MakeMyTrip,Grab Rs 1500 Off on Select Indigo Flights,Rs.1500 OFF,MMTTRAVEL,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,Flight Offer - Book 3 Tickets & Get Flat Rs 500 OFF,Rs.500 OFF,MMTFLAT500,[],['Get flat Rs. 500 instant off on domestic flight tickets.'],
MakeMyTrip,Get Upto Rs 1200 OFF on Domestic Flights,Rs.1200 OFF,MMTUPI,[],['Grab up to Rs 1200 OFF on domestic flights using UPI payments.'],"Valid till 31st May, 21"
MakeMyTrip,"Flash Sale - Get 10%, Up To Rs 650 OFF",Rs.650 OFF,MMTBEST,[],"['Grab flat 10% discount, up to Rs 650 off on domestic flight tickets.']",
MakeMyTrip,Grab Up To Rs 500 OFF Flight Ticket Coupon,Rs.500 OFF,INSTANTBOOK,[],['Get up to Rs 500 instant off on domestic flight booking.'],
MakeMyTrip,Grab Flat Rs 600 OFF On Domestic Flights,Rs.1000 OFF,MMTFLY,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,Visa Card Offer - Up To Rs 1500 OFF On Domestic Flights,10% OFF,MMTVISADF,[],[],"Valid till 09th Sep, 21"
MakeMyTrip,Grab Rs 2500 OFF on 3 or More Tickets,Rs.2500 OFF,FLYMORE,[],[],
MakeMyTrip,Save Flat Rs 555 on Flight Tickets (App Only Offer),Rs.555 OFF,FLAT555,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,Flat 10% OFF on Domestic Flights (HDFC Offer),FLAT 10% OFF,HDFCDC,[],[],
MakeMyTrip,Fly To New Destinations - Get Up To Rs 1500 OFF,Rs.1500 OFF,MMTNEWFLY,[],[],
MakeMyTrip,Book 3 or More Tickets - Get Up To Rs 2500 OFF,Rs.2500 OFF,MMTTOGETHER,[],[],
MakeMyTrip,HDFC Credit Card/EMI Offer - Get Up To Rs 10000 OFF,Rs.10000 OFF,HDFCINTEMI,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,Domestic Flight Tickets - Get Flat Rs 150 OFF,FLAT ₹150 OFF,FLYMMT150,[],[],
MakeMyTrip,HDFC Offer - Flat 12% OFF On Domestic Flights,12% OFF,HDFCDOM,[],[],Expiring Today
MakeMyTrip,GoAir Sale - Fares @ Up to Rs 1000 Off,Rs.1000 OFF,GREATDEAL,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,Earn 10X EDGE Reward Points on Domestic Flights,HOT DEAL,MMTAXIS,[],[],
MakeMyTrip,HDFC Offer - Up To Rs 10000 OFF On International Flights,Rs.10000 OFF,HDFCINT,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,Standard Chartered Bank Offer - Up to 14% OFF on Domestic/International Flights,Rs.5000 OFF,MMTSTANC,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,Airtel Payments Bank Offer - Get Rs 250 Cashback On Flights,Rs.250 OFF,ACTIVATE OFFER,[],[],
MakeMyTrip,Mobikwik Wallet Offer - Upto Rs 800 Supercash,Rs.800 Cashback,KWIK10,[],[],
MakeMyTrip,Use Amazon Pay For Your Bookings!,HOT DEAL,ACTIVATE OFFER,[],[],
MakeMyTrip,Domestic Hotels - Get Up To 50% OFF,50% OFF,ACTIVATE OFFER,[],[],
MakeMyTrip,Goa Hotels - Get Up To 45% OFF,45% OFF,ACTIVATE OFFER,[],[],
MakeMyTrip,International Hotels - Get Best Deals,BEST PRICE,ACTIVATE OFFER,[],[],
MakeMyTrip,MMT Student Offer - Get Special Fares For Students,HOT DEAL,ACTIVATE OFFER,[],[],
MakeMyTrip,Up to Rs 500 Instant discount on bus bookings,Rs.500 OFF,MEGABUS,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,New Users - Up To Rs 100 OFF On Bus Tickets,Rs.100 OFF,BUSNEW,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,Best Deals On Bus Tickets,HOT DEAL,ACTIVATE OFFER,[],[],
MakeMyTrip,SBI Credit Card Offer - Get Flat 7% OFF On Domestic Hotels,7% OFF,MMTSBI2021,[],[],"Valid till 30th Jun, 21"
MakeMyTrip,Book Delhi To Goa Flights - Fares Starting @ Rs 4156,BEST PRICE,ACTIVATE OFFER,[],[],
MakeMyTrip,Paid Through UPI & Get Up To Rs 1000 OFF On Domestic Flights,Rs.1000 OFF,ACTIVATE OFFER,[],[],
MakeMyTrip,Buy Zero Cancellation starting @ Rs 399,HOT DEAL,ACTIVATE OFFER,[],[],
MakeMyTrip,Pre-Book Your Holiday For Just Rs 1000 + Enjoy Free Cancellations,HOT DEAL,ACTIVATE OFFER,[],[],
MakeMyTrip,MakeMyTrip App Offer - Get Up To 70% OFF On Trending Activities,70% OFF,ACTIVATE OFFER,[],['Up to 70% off on trending activities.'],
MakeMyTrip,Outstation Cabs Now Operational on Select Routes,HOT DEAL,ACTIVATE OFFER,[],['Only one passenger will be allowed to travel other than the driver.'],
MakeMyTrip,ZestMoney Exclusive Offer - Claim 0% Interest On Your 3 Months EMI,HOT DEAL,ACTIVATE OFFER,[],['Claim 0% Interest on Your 3 Months EMI.'],
MakeMyTrip,MyBiz Deal - Flat Rs 10000 Travel Benefits On First Booking,Rs.10000 OFF,ACTIVATE OFFER,[],['Introducing myBiz - Save more on business travel.'],
MakeMyTrip,Google Pay Offer - FLAT 10% OFF on Domestic Flights,10% OFF,GPAYTRAVEL,[],['Flat 10% off on domestic flight fares for google pay users'],
